ds,y
2021-02-01,830
2021-02-02,773
2021-02-03,747
2021-02-04,645
2021-02-05,613
2021-02-06,183
2021-02-07,598
2021-02-08,576
2021-02-09,462
2021-02-10,332
2021-02-11,120
2021-02-12,72
2021-02-13,220
2021-02-14,172
2021-02-15,155
2021-02-16,306
2021-02-17,167
2021-02-18,885
2021-02-19,798
2021-02-20,581
2021-02-21,196
2021-02-22,773
2021-02-23,896
2021-02-24,828
2021-02-25,741
2021-02-26,681
2021-02-27,286
2021-02-28,177
2021-03-01,910
2021-03-02,1035
2021-03-03,780
2021-03-04,939
2021-03-05,783
2021-03-06,329
2021-03-07,172
2021-03-08,875
2021-03-09,1001
2021-03-10,863
2021-03-11,923
2021-03-12,749
2021-03-13,296
2021-03-14,198
2021-03-15,1041
2021-03-16,1016
2021-03-17,882
2021-03-18,921
2021-03-19,733
2021-03-20,283
2021-03-21,195
2021-03-22,901
2021-03-23,917
2021-03-24,814
2021-03-25,847
2021-03-26,660
2021-03-27,250
2021-03-28,159
2021-03-29,905
2021-03-30,921
2021-03-31,761
2021-04-01,741
2021-04-02,645
2021-04-03,214
2021-04-04,320
2021-04-05,229
2021-04-06,1048
2021-04-07,898
2021-04-08,931
2021-04-09,693
2021-04-10,368
2021-04-11,156
2021-04-12,920
2021-04-13,986
2021-04-14,873
2021-04-15,943
2021-04-16,686
2021-04-17,344
2021-04-18,188
2021-04-19,953
2021-04-20,1022
2021-04-21,868
2021-04-22,927
2021-04-23,746
2021-04-24,200
2021-04-25,732
2021-04-26,739
2021-04-27,864
2021-04-28,730
2021-04-29,667
2021-04-30,532
2021-05-01,357
2021-05-02,162
2021-05-03,303
2021-05-04,517
2021-05-05,259
2021-05-06,930
2021-05-07,846
2021-05-08,662
2021-05-09,266
2021-05-10,943
2021-05-11,1031
2021-05-12,907
2021-05-13,930
2021-05-14,730
2021-05-15,360
2021-05-16,214
2021-05-17,1006
2021-05-18,1043
2021-05-19,919
2021-05-20,845
