ds,y
2021-02-01,411
2021-02-02,353
2021-02-03,337
2021-02-04,303
2021-02-05,279
2021-02-06,134
2021-02-07,241
2021-02-08,295
2021-02-09,231
2021-02-10,198
2021-02-11,78
2021-02-12,51
2021-02-13,102
2021-02-14,118
2021-02-15,115
2021-02-16,171
2021-02-17,131
2021-02-18,446
2021-02-19,362
2021-02-20,230
2021-02-21,154
2021-02-22,406
2021-02-23,393
2021-02-24,394
2021-02-25,348
2021-02-26,288
2021-02-27,150
2021-02-28,124
2021-03-01,466
2021-03-02,433
2021-03-03,371
2021-03-04,416
2021-03-05,373
2021-03-06,175
2021-03-07,124
2021-03-08,452
2021-03-09,407
2021-03-10,397
2021-03-11,393
2021-03-12,307
2021-03-13,175
2021-03-14,142
2021-03-15,516
2021-03-16,446
2021-03-17,398
2021-03-18,386
2021-03-19,331
2021-03-20,170
2021-03-21,147
2021-03-22,429
2021-03-23,388
2021-03-24,370
2021-03-25,351
2021-03-26,290
2021-03-27,148
2021-03-28,128
2021-03-29,457
2021-03-30,412
2021-03-31,397
2021-04-01,357
2021-04-02,297
2021-04-03,152
2021-04-04,179
2021-04-05,171
2021-04-06,484
2021-04-07,447
2021-04-08,395
2021-04-09,339
2021-04-10,219
2021-04-11,113
2021-04-12,488
2021-04-13,456
2021-04-14,441
2021-04-15,407
2021-04-16,328
2021-04-17,205
2021-04-18,151
2021-04-19,476
2021-04-20,458
2021-04-21,419
2021-04-22,434
2021-04-23,357
2021-04-24,140
2021-04-25,337
2021-04-26,393
2021-04-27,351
2021-04-28,387
2021-04-29,332
2021-04-30,258
2021-05-01,173
2021-05-02,124
2021-05-03,203
2021-05-04,255
2021-05-05,193
2021-05-06,481
2021-05-07,437
2021-05-08,300
2021-05-09,191
2021-05-10,478
2021-05-11,460
2021-05-12,420
2021-05-13,397
2021-05-14,332
2021-05-15,192
2021-05-16,157
2021-05-17,496
2021-05-18,465
2021-05-19,447
2021-05-20,384
2021-05-21,307
2021-05-22,188
2021-05-23,124
2021-05-24,448
2021-05-25,433
2021-05-26,354
2021-05-27,403
2021-05-28,311
2021-05-29,173
2021-05-30,168
2021-05-31,432
2021-06-01,398
2021-06-02,388
2021-06-03,414
2021-06-04,311
2021-06-05,173
2021-06-06,149
2021-06-07,466
2021-06-08,453
2021-06-09,435
2021-06-10,333
2021-06-11,310
2021-06-12,178
2021-06-13,158
2021-06-14,265
2021-06-15,357
2021-06-16,412
2021-06-17,424
2021-06-18,380
2021-06-19,180
2021-06-20,134
2021-06-21,479
2021-06-22,428
2021-06-23,399
2021-06-24,375
2021-06-25,314
2021-06-26,213
2021-06-27,144
2021-06-28,396
2021-06-29,456
2021-06-30,368
2021-07-01,433
2021-07-02,384
2021-07-03,191
2021-07-04,131
2021-07-05,441
2021-07-06,448
2021-07-07,379
2021-07-08,384
2021-07-09,334
2021-07-10,192
2021-07-11,169
2021-07-12,452
2021-07-13,452
2021-07-14,422
2021-07-15,339
2021-07-16,343
2021-07-17,209
2021-07-18,166
2021-07-19,448
2021-07-20,432
2021-07-21,394
2021-07-22,374
2021-07-23,322
2021-07-24,188
2021-07-25,117
2021-07-26,401
2021-07-27,317
2021-07-28,353
2021-07-29,364
2021-07-30,293
2021-07-31,184
2021-08-01,131
2021-08-02,406
2021-08-03,314
2021-08-04,378
2021-08-05,315
2021-08-06,269
2021-08-07,173
2021-08-08,136
2021-08-09,384
2021-08-10,359
2021-08-11,328
2021-08-12,302
2021-08-13,333
2021-08-14,261
2021-08-15,249
2021-08-16,606
2021-08-17,514
2021-08-18,457
2021-08-19,455
2021-08-20,365
2021-08-21,207
2021-08-22,263
2021-08-23,606
2021-08-24,530
2021-08-25,445
2021-08-26,390
2021-08-27,376
2021-08-28,222
2021-08-29,213
2021-08-30,531
2021-08-31,492
2021-09-01,419
2021-09-02,377
2021-09-03,376
2021-09-04,239
2021-09-05,239
2021-09-06,596
2021-09-07,482
2021-09-08,449
2021-09-09,422
2021-09-10,326
2021-09-11,197
2021-09-12,202
2021-09-13,510
2021-09-14,475
2021-09-15,428
2021-09-16,373
2021-09-17,324
2021-09-18,253
2021-09-19,142
2021-09-20,205
2021-09-21,219
2021-09-22,444
2021-09-23,456
2021-09-24,378
2021-09-25,175
2021-09-26,366
2021-09-27,402
2021-09-28,362
2021-09-29,367
2021-09-30,182
2021-10-01,166
2021-10-02,213
2021-10-03,155
2021-10-04,181
2021-10-05,311
2021-10-06,234
2021-10-07,338
2021-10-08,461
2021-10-09,445
2021-10-10,195
2021-10-11,512
2021-10-12,534
2021-10-13,466
2021-10-14,493
2021-10-15,415
2021-10-16,173
2021-10-17,160
2021-10-18,506
2021-10-19,500
2021-10-20,470
2021-10-21,389
2021-10-22,353
2021-10-23,166
2021-10-24,147
2021-10-25,511
2021-10-26,482
2021-10-27,461
2021-10-28,470
2021-10-29,410
2021-10-30,270
2021-10-31,170
2021-11-01,460
2021-11-02,472
2021-11-03,451
2021-11-04,471
2021-11-05,413
2021-11-06,236
2021-11-07,161
2021-11-08,459
2021-11-09,510
2021-11-10,425
2021-11-11,425
2021-11-12,373
2021-11-13,202
2021-11-14,149
2021-11-15,458
2021-11-16,512
2021-11-17,449
2021-11-18,477
2021-11-19,396
2021-11-20,246
2021-11-21,176
2021-11-22,500
2021-11-23,487
2021-11-24,460
2021-11-25,456
2021-11-26,382
2021-11-27,234
2021-11-28,174
2021-11-29,459
2021-11-30,482
2021-12-01,495
2021-12-02,386
2021-12-03,399
2021-12-04,243
2021-12-05,188
2021-12-06,486
2021-12-07,486
2021-12-08,468
2021-12-09,476
2021-12-10,446
2021-12-11,223
2021-12-12,158
2021-12-13,536
2021-12-14,495
2021-12-15,470
2021-12-16,443
2021-12-17,431
2021-12-18,208
2021-12-19,157
2021-12-20,474
2021-12-21,449
2021-12-22,442
2021-12-23,475
2021-12-24,425
2021-12-25,197
2021-12-26,160
2021-12-27,485
2021-12-28,462
2021-12-29,416
2021-12-30,412
2021-12-31,249
2022-01-01,197
2022-01-02,154
2022-01-03,265
2022-01-04,535
2022-01-05,491
2022-01-06,499
2022-01-07,440
2022-01-08,288
2022-01-09,186
2022-01-10,570
2022-01-11,541
2022-01-12,497
2022-01-13,489
2022-01-14,404
2022-01-15,243
2022-01-16,191
2022-01-17,487
2022-01-18,455
2022-01-19,512
2022-01-20,434
2022-01-21,403
2022-01-22,288
2022-01-23,146
2022-01-24,447
2022-01-25,417
2022-01-26,424
2022-01-27,375
2022-01-28,238
2022-01-29,194
2022-01-30,177
2022-01-31,88
2022-02-01,61
2022-02-02,77
2022-02-03,205
2022-02-04,191
2022-02-05,177
2022-02-06,221
2022-02-07,429
2022-02-08,460
2022-02-09,463
2022-02-10,484
