ds,y
2021-02-01,62
2021-02-02,90
2021-02-03,77
2021-02-04,73
2021-02-05,64
2021-02-06,3
2021-02-07,73
2021-02-08,66
2021-02-09,48
2021-02-10,25
2021-02-11,3
2021-02-12,1
2021-02-13,30
2021-02-14,3
2021-02-16,26
2021-02-17,1
2021-02-18,52
2021-02-19,81
2021-02-20,73
2021-02-21,1
2021-02-22,62
2021-02-23,95
2021-02-24,71
2021-02-25,74
2021-02-26,74
2021-02-27,30
2021-02-28,1
2021-03-01,70
2021-03-02,100
2021-03-03,76
2021-03-04,103
2021-03-05,88
2021-03-06,33
2021-03-07,2
2021-03-08,81
2021-03-09,116
2021-03-10,81
2021-03-11,104
2021-03-12,78
2021-03-13,33
2021-03-14,2
2021-03-15,90
2021-03-16,114
2021-03-17,84
2021-03-18,112
2021-03-19,87
2021-03-20,34
2021-03-21,3
2021-03-22,91
2021-03-23,112
2021-03-24,83
2021-03-25,102
2021-03-26,76
2021-03-27,25
2021-03-28,2
2021-03-29,77
2021-03-30,102
2021-03-31,67
2021-04-01,76
2021-04-02,83
2021-04-03,1
2021-04-04,34
2021-04-05,2
2021-04-06,104
2021-04-07,82
2021-04-08,110
2021-04-09,93
2021-04-10,30
2021-04-11,1
2021-04-12,73
2021-04-13,110
2021-04-14,80
2021-04-15,112
2021-04-16,82
2021-04-17,25
2021-04-18,2
2021-04-19,85
2021-04-20,96
2021-04-21,83
2021-04-22,110
2021-04-23,90
2021-04-24,4
2021-04-25,69
2021-04-26,59
2021-04-27,108
2021-04-28,60
2021-04-29,60
2021-04-30,64
2021-05-01,42
2021-05-02,3
2021-05-03,11
2021-05-04,55
2021-05-06,78
2021-05-07,73
2021-05-08,62
2021-05-09,1
2021-05-10,72
2021-05-11,91
2021-05-12,85
2021-05-13,116
2021-05-14,91
2021-05-15,33
2021-05-16,4
2021-05-17,82
2021-05-18,104
2021-05-19,76
2021-05-20,97
2021-05-21,89
2021-05-22,31
2021-05-23,3
2021-05-24,75
2021-05-25,109
2021-05-26,75
2021-05-27,111
2021-05-28,76
2021-05-29,27
2021-05-31,64
2021-06-01,99
2021-06-02,80
2021-06-03,107
2021-06-04,85
2021-06-05,30
2021-06-07,67
2021-06-08,88
2021-06-09,80
2021-06-10,105
2021-06-11,77
2021-06-12,20
2021-06-13,2
2021-06-14,26
2021-06-15,68
2021-06-16,82
2021-06-17,103
2021-06-18,81
2021-06-19,28
2021-06-20,3
2021-06-21,79
2021-06-22,108
2021-06-23,97
2021-06-24,111
2021-06-25,83
2021-06-26,25
2021-06-27,1
2021-06-28,54
2021-06-29,103
2021-06-30,86
2021-07-01,95
2021-07-02,77
2021-07-03,33
2021-07-05,87
2021-07-06,100
2021-07-07,89
2021-07-08,92
2021-07-09,95
2021-07-10,29
2021-07-11,4
2021-07-12,74
2021-07-13,107
2021-07-14,101
2021-07-15,121
2021-07-16,93
2021-07-17,28
2021-07-18,4
2021-07-19,63
2021-07-20,104
2021-07-21,88
2021-07-22,105
2021-07-23,72
2021-07-24,32
2021-07-26,79
2021-07-27,116
2021-07-28,90
2021-07-29,113
2021-07-30,66
2021-07-31,14
2021-08-01,3
2021-08-02,67
2021-08-03,68
2021-08-04,82
2021-08-05,79
2021-08-06,73
2021-08-07,26
2021-08-08,2
2021-08-09,65
2021-08-10,71
2021-08-11,71
2021-08-12,60
2021-08-13,67
2021-08-14,20
2021-08-15,5
2021-08-16,67
2021-08-17,63
2021-08-18,80
2021-08-19,76
2021-08-20,63
2021-08-21,20
2021-08-22,1
2021-08-23,52
2021-08-24,79
2021-08-25,76
2021-08-26,95
2021-08-27,72
2021-08-28,23
2021-08-29,2
2021-08-30,50
2021-08-31,89
2021-09-01,77
2021-09-02,104
2021-09-03,105
2021-09-04,31
2021-09-05,1
2021-09-06,51
2021-09-07,95
2021-09-08,79
2021-09-09,111
2021-09-10,113
2021-09-11,23
2021-09-12,4
2021-09-13,52
2021-09-14,97
2021-09-15,84
2021-09-16,112
2021-09-17,81
2021-09-18,111
2021-09-19,3
2021-09-20,27
2021-09-21,53
2021-09-22,60
2021-09-23,108
2021-09-24,73
2021-09-25,3
2021-09-26,86
2021-09-27,69
2021-09-28,109
2021-09-29,77
2021-09-30,77
2021-10-01,1
2021-10-02,37
2021-10-03,2
2021-10-04,1
2021-10-05,44
2021-10-06,4
2021-10-07,45
2021-10-08,58
2021-10-09,52
2021-10-10,4
2021-10-11,61
2021-10-12,87
2021-10-13,68
2021-10-14,88
2021-10-15,77
2021-10-16,30
2021-10-17,5
2021-10-18,58
2021-10-19,86
2021-10-20,62
2021-10-21,106
2021-10-22,88
2021-10-23,26
2021-10-24,1
2021-10-25,53
2021-10-26,62
2021-10-27,69
2021-10-28,74
2021-10-29,55
2021-10-30,36
2021-10-31,3
2021-11-01,46
2021-11-02,77
2021-11-03,58
2021-11-04,82
2021-11-05,61
2021-11-06,25
2021-11-08,45
2021-11-09,80
2021-11-10,56
2021-11-11,97
2021-11-12,67
2021-11-13,27
2021-11-15,51
2021-11-16,69
2021-11-17,60
2021-11-18,80
2021-11-19,75
2021-11-20,23
2021-11-21,3
2021-11-22,49
2021-11-23,73
2021-11-24,76
2021-11-25,85
2021-11-26,65
2021-11-27,22
2021-11-28,1
2021-11-29,56
2021-11-30,70
2021-12-01,55
2021-12-02,84
2021-12-03,71
2021-12-04,20
2021-12-05,4
2021-12-06,64
2021-12-07,81
2021-12-08,62
2021-12-09,79
2021-12-10,74
2021-12-11,22
2021-12-12,1
2021-12-13,60
2021-12-14,82
2021-12-15,63
2021-12-16,84
2021-12-17,55
2021-12-18,27
2021-12-19,4
2021-12-20,58
2021-12-21,77
2021-12-22,71
2021-12-23,75
2021-12-24,70
2021-12-25,15
2021-12-26,5
2021-12-27,43
2021-12-28,69
2021-12-29,58
2021-12-30,85
2021-12-31,51
2022-01-01,14
2022-01-02,1
2022-01-03,28
2022-01-04,62
2022-01-05,76
2022-01-06,76
2022-01-07,68
2022-01-08,27
2022-01-09,2
2022-01-10,49
2022-01-11,79
2022-01-12,78
2022-01-13,79
2022-01-14,72
2022-01-15,22
2022-01-16,4
2022-01-17,69
2022-01-18,79
2022-01-19,64
2022-01-20,94
2022-01-21,53
2022-01-22,22
2022-01-23,3
2022-01-24,42
2022-01-25,70
2022-01-26,51
2022-01-27,77
2022-01-28,43
2022-01-29,27
2022-01-30,28
2022-01-31,4
2022-02-01,3
2022-02-02,2
2022-02-03,18
2022-02-04,4
2022-02-05,2
2022-02-06,32
2022-02-07,39
2022-02-08,59
2022-02-09,56
2022-02-10,80
2022-02-11,69
2022-02-12,17
2022-02-13,2
2022-02-14,45
2022-02-15,76
2022-02-16,61
2022-02-17,81
2022-02-18,50
2022-02-19,16
2022-02-20,3
2022-02-21,46
2022-02-22,74
2022-02-23,78
2022-02-24,96
2022-02-25,73
2022-02-26,25
