ds,y
2021-02-01,509
2021-02-02,496
2021-02-03,441
2021-02-04,428
2021-02-05,372
2021-02-06,137
2021-02-07,350
2021-02-08,430
2021-02-09,361
2021-02-10,272
2021-02-11,81
2021-02-12,52
2021-02-13,132
2021-02-14,121
2021-02-15,115
2021-02-16,197
2021-02-17,132
2021-02-18,523
2021-02-19,495
2021-02-20,334
2021-02-21,155
2021-02-22,520
2021-02-23,550
2021-02-24,518
2021-02-25,475
2021-02-26,380
2021-02-27,180
2021-02-28,125
2021-03-01,589
2021-03-02,600
2021-03-03,507
2021-03-04,589
2021-03-05,552
2021-03-06,208
2021-03-07,126
2021-03-08,612
2021-03-09,608
2021-03-10,546
2021-03-11,592
2021-03-12,451
2021-03-13,208
2021-03-14,144
2021-03-15,653
2021-03-16,628
2021-03-17,556
2021-03-18,584
2021-03-19,474
2021-03-20,204
2021-03-21,150
2021-03-22,599
2021-03-23,577
2021-03-24,518
2021-03-25,528
2021-03-26,442
2021-03-27,173
2021-03-28,130
2021-03-29,612
2021-03-30,579
2021-03-31,497
2021-04-01,473
2021-04-02,416
2021-04-03,153
2021-04-04,213
2021-04-05,173
2021-04-06,632
2021-04-07,620
2021-04-08,533
2021-04-09,490
2021-04-10,249
2021-04-11,114
2021-04-12,706
2021-04-13,696
2021-04-14,650
2021-04-15,604
2021-04-16,488
2021-04-17,230
2021-04-18,153
2021-04-19,676
2021-04-20,651
2021-04-21,545
2021-04-22,626
2021-04-23,506
2021-04-24,251
2021-04-25,527
2021-04-26,521
2021-04-27,557
2021-04-28,530
2021-04-29,471
2021-04-30,374
2021-05-01,215
2021-05-02,127
2021-05-03,214
2021-05-04,310
2021-05-05,193
2021-05-06,635
2021-05-07,608
2021-05-08,447
2021-05-09,226
2021-05-10,591
2021-05-11,604
2021-05-12,614
2021-05-13,654
2021-05-14,530
2021-05-15,312
2021-05-16,234
2021-05-17,657
2021-05-18,674
2021-05-19,569
2021-05-20,547
2021-05-21,463
2021-05-22,323
2021-05-23,187
2021-05-24,600
2021-05-25,623
2021-05-26,488
2021-05-27,591
2021-05-28,440
2021-05-29,274
2021-05-30,168
2021-05-31,542
2021-06-01,520
2021-06-02,528
2021-06-03,588
2021-06-04,435
2021-06-05,203
2021-06-06,149
2021-06-07,588
2021-06-08,606
2021-06-09,556
2021-06-10,486
2021-06-11,451
2021-06-12,198
2021-06-13,160
2021-06-14,291
2021-06-15,476
2021-06-16,535
2021-06-17,587
2021-06-18,515
2021-06-19,314
2021-06-20,252
2021-06-21,626
2021-06-22,656
2021-06-23,582
2021-06-24,589
2021-06-25,546
2021-06-26,364
2021-06-27,282
2021-06-28,596
2021-06-29,686
2021-06-30,552
2021-07-01,595
2021-07-02,592
2021-07-03,333
2021-07-04,269
2021-07-05,658
2021-07-06,689
2021-07-07,613
2021-07-08,554
2021-07-09,510
2021-07-10,306
2021-07-11,290
2021-07-12,556
2021-07-13,619
2021-07-14,602
2021-07-15,519
2021-07-16,505
2021-07-17,260
2021-07-18,261
2021-07-19,582
2021-07-20,590
2021-07-21,525
2021-07-22,515
2021-07-23,454
2021-07-24,274
2021-07-25,227
2021-07-26,507
2021-07-27,477
2021-07-28,501
2021-07-29,531
2021-07-30,436
2021-07-31,198
2021-08-01,190
2021-08-02,502
2021-08-03,405
2021-08-04,490
2021-08-05,416
2021-08-06,385
2021-08-07,323
2021-08-08,229
2021-08-09,476
2021-08-10,465
2021-08-11,444
2021-08-12,390
2021-08-13,436
2021-08-14,394
2021-08-15,337
2021-08-16,711
2021-08-17,620
2021-08-18,567
2021-08-19,572
2021-08-20,473
2021-08-21,227
2021-08-22,264
2021-08-23,711
2021-08-24,693
2021-08-25,568
2021-08-26,544
2021-08-27,526
2021-08-28,320
2021-08-29,275
2021-08-30,659
2021-08-31,623
2021-09-01,609
2021-09-02,592
2021-09-03,496
2021-09-04,270
2021-09-05,240
2021-09-06,666
2021-09-07,702
2021-09-08,681
2021-09-09,625
2021-09-10,608
2021-09-11,220
2021-09-12,241
2021-09-13,707
2021-09-14,720
2021-09-15,593
2021-09-16,568
2021-09-17,496
2021-09-18,449
2021-09-19,145
2021-09-20,232
2021-09-21,272
2021-09-22,641
2021-09-23,697
2021-09-24,557
2021-09-25,238
2021-09-26,636
2021-09-27,619
2021-09-28,645
2021-09-29,588
2021-09-30,364
2021-10-01,167
2021-10-02,250
2021-10-03,157
2021-10-04,182
2021-10-05,355
2021-10-06,238
2021-10-07,383
2021-10-08,682
2021-10-09,638
2021-10-10,255
2021-10-11,707
2021-10-12,730
2021-10-13,684
2021-10-14,656
2021-10-15,561
2021-10-16,267
2021-10-17,166
2021-10-18,701
2021-10-19,761
2021-10-20,672
2021-10-21,632
2021-10-22,628
2021-10-23,260
2021-10-24,149
2021-10-25,719
2021-10-26,717
2021-10-27,753
2021-10-28,696
2021-10-29,624
2021-10-30,399
2021-10-31,237
2021-11-01,625
2021-11-02,692
2021-11-03,707
2021-11-04,672
2021-11-05,631
2021-11-06,326
2021-11-07,219
